steps,rollout,stage,mean_return,mean_episode_length,policy_loss,value_loss,entropy,grad_norm
63488,62,1,43.2742,5258.3,0.0,0.215762,0.99084,0.072954
64512,63,1,43.2742,5258.3,-0.0,0.369016,0.989991,0.138197
65536,64,1,43.2742,5258.3,0.0,0.27222,0.99073,0.137244
66560,65,1,43.2742,5258.3,0.0,0.290024,0.990972,0.09234
67584,66,1,43.2742,5258.3,0.0,0.194887,0.991299,0.049896
68608,67,1,43.2658,5275.5,0.0,0.198745,0.990187,0.059403
69632,68,1,43.2658,5275.5,0.0,0.288629,0.990687,0.04993
70656,69,1,43.2658,5275.5,-0.0,0.319715,0.99083,0.133928
71680,70,1,43.2658,5275.5,0.0,0.220522,0.990435,0.074925
72704,71,1,43.2658,5275.5,-0.0,0.25622,0.990584,0.079905
73728,72,1,43.2658,5275.5,0.0,0.154801,0.990464,0.011815
74752,73,1,43.2436,5326.7,-0.0,0.208546,0.990962,0.057873
75776,74,1,43.2436,5326.7,-0.0,0.48969,0.990681,0.204992
76800,75,1,43.2436,5326.7,0.0,0.209586,0.990523,0.034009
77824,76,1,43.2436,5326.7,0.0,0.193053,0.990422,0.037407
78848,77,1,43.2436,5326.7,-0.0,0.343156,0.990545,0.136768
79872,78,1,43.126,5305.3,-0.0,0.281741,0.990237,0.11334
80896,79,1,43.126,5305.3,0.0,0.206189,0.990894,0.041091
81920,80,1,43.126,5305.3,-0.0,0.304403,0.990221,0.149926
82944,81,1,43.126,5305.3,0.0,0.272265,0.990229,0.056555
83968,82,1,43.126,5305.3,-0.0,0.357199,0.990499,0.122408
84992,83,1,43.2937,5307.6,-0.0,0.20988,0.99055,0.072038
86016,84,1,43.2937,5307.6,0.0,0.212161,0.991209,0.034849
87040,85,1,43.2937,5307.6,0.0,0.212897,0.990789,0.036023
88064,86,1,43.2937,5307.6,-0.0,0.271532,0.990807,0.077691
89088,87,1,43.2937,5307.6,0.0,0.214998,0.990488,0.013232
90112,88,1,43.2937,5307.6,-0.0,0.232786,0.989931,0.032917
91136,89,1,43.3279,5358.8,-0.0,0.30473,0.991733,0.117114
92160,90,1,43.3279,5358.8,-0.0,0.210535,0.991289,0.012971
93184,91,1,43.3279,5358.8,-0.0,0.298583,0.989563,0.077787
94208,92,1,43.3279,5358.8,0.0,0.218329,0.990976,0.013222
95232,93,1,43.3279,5358.8,-0.0,0.316498,0.990916,0.09582
96256,94,1,43.3279,5358.8,-0.0,0.274924,0.990159,0.089502
97280,95,1,43.0761,5353.8,-0.0,0.291626,0.991171,0.130206
98304,96,1,43.0761,5353.8,0.0,0.172116,0.990889,0.01856
99328,97,1,43.0761,5353.8,-0.0,0.239889,0.990768,0.022194
100352,98,1,43.0761,5353.8,0.0,0.198389,0.989953,0.066613
101376,99,1,43.0761,5353.8,-0.0,0.210036,0.990573,0.028914
102400,100,1,43.0761,5353.8,0.0,0.218946,0.990473,0.037109
103424,101,1,43.1484,5424.6,0.0,0.345398,0.990543,0.10797
